,Admin State,Allotment Name,Allotment Number,Authorization Number,Date NEPA Analysis Completed (mm/dd/yyyy)5,Date of Most Recent Land Health Evaluation Report (mm/dd/yyyy)1,Date of most recent Determination of Causal Factor(s) (mm/dd/yyyy)2,Land Health Standard(s) Not Achieved in the Allotment and Significant Causal Factor(s) Identified3,NEPA Identifier6,Office Code,Permit or Lease Status,"Type of NEPA Analysis for Grazing Authorization (EA, EIS, CX, DNA)4",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
604,AZ,CANYON RANCH UNIT A,00017,202016,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
605,AZ,CANYON RANCH UNIT B,00004,202016,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
606,AZ,CASTLE ROCK,00018,202017,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
607,AZ,CEDAR CANYON,00019,202018,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
608,AZ,CERBAT,00020,202019,,3/12/10,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
609,AZ,CHICKEN SPRINGS,00021,202020,9/18/01,9/18/00,Not Needed,All Standards are met,EA-AZ-030-2001-14,LLAZC01000,APPROPRIATION ACT,E.A.,,,,,,,,,,,,,
610,AZ,CHINO SPRINGS,00022,202021,,None,None,Determination Not Complete,,LLAZC01000,HOLD,None,,,,,,,,,,,,,
611,AZ,CLAY SPRINGS,00023,202022,12/07/07,9/27/07,Not Needed,All Standards are met,DNA-AZ-310-2007-064,LLAZC01000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
612,AZ,COOK CANYON,00024,202023,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
613,AZ,CROSSMAN PEAK,00025,201091,7/29/08,7/23/08,Not Needed,All Standards are met,EA-AZ-330-2008-030,LLAZC01000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
614,AZ,CROZIER CANYON,00026,200027,01/17/07,3/10/06,3/10/06,Standard 2 & 3 not met (Grazing),EA-AZ-310-2006-055,LLAZC01000,ACTIVE,E.A.,,,,,,,,,,,,,
615,AZ,CURTAIN,00027,202026,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
616,AZ,D O R,00031,202032,,None,None,Determination Not Complete,,LLAZC01000,HOLD,None,,,,,,,,,,,,,
617,AZ,D. G. RANCH,00090,202056,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
618,AZ,DIAMOND BAR   UNIT B,00080,202030,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
619,AZ,DIAMOND BAR UNIT A,00098,202030,,9/20/11,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
620,AZ,DIAMOND JOE,00028,201995,9/24/08,8/7/08,8/7/08,Standard 3 not met (Grazing),EA-AZ-310-2008-047,LLAZC01000,APPROPRIATION ACT,E.A.,,,,,,,,,,,,,
621,AZ,DOLAN SPRINGS,00030,202031,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
622,AZ,FELDSPAR,00032,202033,08/20/99,3/29/99,Not Needed,All Standards are met,DNA-AZ-030-1999-64,LLAZC01000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
623,AZ,FORT MACEWEN UNIT A,00034,202035,,3/12/10,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
624,AZ,FORT MACEWEN UNIT B,00082,202035,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
625,AZ,FRANCIS CREEK,00035,202036,10/06/99,5/12/99,Not Needed,All Standards are met,E.A.-AZ-030-1999-56,LLAZC01000,APPROPRIATION ACT,E.A.,,,,,,,,,,,,,
626,AZ,GEDIONDIA,00036,201923,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
627,AZ,GIBSON CATTLE CO.,00103,202103,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
628,AZ,GOLD BASIN,00037,201420,08/13/01,8/7/01,8/7/01,Standard 3 not met (Grazing),EA-AZ-030-2001-43,LLAZC01000,APPROPRIATION ACT,E.A.,,,,,,,,,,,,,
629,AZ,GRAY WASH,00038,201990,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
630,AZ,GREENWOOD COMMUNITY,00039,201496,11/7/11,2/2/10,Not Needed,All Standards are met,EA-AZ-310-2008-053,LLAZC01000,APPROPRIATION ACT,E.A.,,,,,,,,,,,,,
631,AZ,GREENWOOD COMMUNITY,00039,201972,11/7/11,2/2/10,Not Needed,All Standards are met,EA-AZ-310-2008-053,LLAZC01000,APPROPRIATION ACT,E.A.,,,,,,,,,,,,,
632,AZ,GREENWOOD PEAK COMM.,00040,201990,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
633,AZ,GREENWOOD PEAK COMM.,00040,202043,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
634,AZ,GROOM PEAK,00041,201990,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
635,AZ,HACKBERRY,00042,202045,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
636,AZ,HAPPY JACK WASH,00043,202046,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
637,AZ,HARCUVAR,03040,202344,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
638,AZ,HIBERNIA PEAK,00050,202053,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
639,AZ,HIBERNIA PEAK UNIT B,00083,202053,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
640,AZ,HOT SPRINGS,00046,202049,,8/4/11,Not Needed,All Standards are met,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
641,AZ,HUALAPAI PEAK,00047,202123,11/26/01,11/9/98,Not Needed,All Standards are met,DNA-AZ-030-1999-55,LLAZC01000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
642,AZ,JJJ CORPORATION,00105,202105,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
643,AZ,KELLIS LEASE,00107,202107,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
644,AZ,LA CIENEGA,00051,202122,09/27/99,09/27/99,Not Needed,All Standards are met,EA-AZ-030-1999-29,LLAZC01000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
645,AZ,LAZY YU UNIT A,00052,200055,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
646,AZ,LITTLE CANE,00087,202083,9/17/99,9/17/99,Not Needed,All Standards are met,DNA-AZ-030-1999-83,LLAZC01000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
647,AZ,LOS MOLINOS,00054,201996,9/24/08,8/7/08,8/7/08,Standard 3 not met (Grazing),EA-AZ-310-2008-047,LLAZC01000,APPROPRIATION ACT,E.A.,,,,,,,,,,,,,
648,AZ,MIDDLE WATER,01705,201936,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
649,AZ,MINERAL PARK,00055,202026,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
650,AZ,MT. TIPTON,00058,202061,09/21/99,9/30/99,9/30/99,Standard 3 not met (Grazing),DNA-AZ-030-1999-74,LLAZC01000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
651,AZ,MUD SPRINGS,00998,200995,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
652,AZ,MUSIC MOUNTAIN,00057,200113,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
653,AZ,PALMERITA RANCH,00094,202086,,None,None,Determination Not Complete,,LLAZC01000,HOLD,None,,,,,,,,,,,,,
654,AZ,PEACOCK MOUNTAIN,00059,202062,10/04/99,10/4/99,Not Needed,All Standards are met,DNA-AZ-030-1999-69,LLAZC01000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
655,AZ,PINE SPRINGS,00060,202063,08/23/01,8/15/00,8/15/00,Standard 3 not met (Grazing),EA-AZ-030-2001-48,LLAZC01000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
656,AZ,PIPELINE RANCH,00092,202182,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
657,AZ,PLANET,03067,202378,7/29/08,7/23/08,Not Needed,All Standards are met,EA-AZ-310-2008-030,LLAZC01000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
658,AZ,PORTLAND SPRINGS,00061,202064,09/03/99,8/24/99,Not Needed,All Standards are met,DNA-AZ-030-1999-72,LLAZC01000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
659,AZ,QUAIL SPRINGS,00062,202065,,3/12/10,None,Determination Not Complete,,LLAZC01000,HOLD,None,,,,,,,,,,,,,
660,AZ,S.M.-GRAPEVINE RANCH,00093,202085,09/05/00,3/1/00,Not Needed,All Standards are met,EA-AZ-030-2001-46,LLAZC01000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
661,AZ,SANDY,00064,201997,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
662,AZ,SANTA MARIA RANCH,00089,202051,9/17/02,8/24/02,Not Needed,All Standards are met,DNA-AZ-030-2002-18,LLAZC01000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
663,AZ,SCRATCH CANYON LEASE,00111,202111,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
664,AZ,STOCKTON HILL,00066,201922,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
665,AZ,THUMB BUTTE,00068,201495,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
666,AZ,TRES ALAMOS RANCH,00091,202072,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
667,AZ,TRUXTON CANYON UNITA,00070,201268,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
668,AZ,TRUXTON CANYON UNITB,00088,201268,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
669,AZ,UPPER MUSIC MTN,00100,202074,07/28/98,4/10/98,Not Needed,All Standards are met,EA-AZ-030-1998-76,LLAZC01000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
670,AZ,VALENTINE,00072,201971,05/23/99,3/28/99,Not Needed,All Standards are met,EA-AZ-030-1999-52,LLAZC01000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
671,AZ,WALAPAI RANCH,00077,201964,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
672,AZ,WALNUT CREEK,00073,200055,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
673,AZ,WEST PEACOCK,00074,201160,10/2/00,10/2/00,Not Needed,All Standards are met,EA-AZ-030-1999-78,LLAZC01000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
674,AZ,WIKIEUP,00076,202079,,None,None,Determination Not Complete,,LLAZC01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
675,AZ,YELLOW PINE,00078,201981,11/15/99,11/15/99,Not Needed,All Standards are met,DNA-AZ-030-1998-57,LLAZC01000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
676,AZ,YOLO RANCH LEASE,00115,202115,06/14/00,8/4/00,Not Needed,All Standards are met,DNA-AZ-030-2000-38,LLAZC01000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
677,AZ,BISHOP LEASE,05009,205300,09/05/03,6/30/03,None Needed,"All standards are met (Upland sites,Riparian-Wetland Sites,Desired Resource Conditions)",EA-AZ-050-03-0042,LLAZC02000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
678,AZ,CALHOUN,03012,202312,09/05/03,6/30/03,None Needed,"All standards are met (Upland sites,Riparian-Wetland Sites,Desired Resource Conditions)",EA-AZ-050-03-0044,LLAZC02000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
679,AZ,CALIENTE FARMS LEASE,05044,202544,09/05/03,None Needed,None Needed,,EA-AZ-050-03-0043,LLAZC02000,INACTIVE,EA,,,,,,,,,,,,,
680,AZ,CROWDER-WEISSER,03022,202322,09/05/03,9/10/03,None Needed,"All standards are met (Upland sites,Riparian-Wetland Sites,Desired Resource Conditions)",EA-AZ-050-03-0044,LLAZC02000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
681,AZ,DATELAND RANCH,05053,202553,09/05/03,None Needed,None Needed,,EA-AZ-050-03-0043,LLAZC02000,INACTIVE,EA,,,,,,,,,,,,,
682,AZ,EAGLE TAIL-UNIT A,03028,202328,09/05/03,9/10/03,None Needed,"All standards are met (Upland sites,Riparian-Wetland Sites,Desired Resource Conditions)",EA-AZ-050-03-0044,LLAZC02000,ACTIVE,EA,,,,,,,,,,,,,
683,AZ,EAGLE TAIL-UNIT B,03094,202328,09/05/03,None Needed,None Needed,,EA-AZ-050-03-0044,LLAZC02000,INACTIVE,EA,,,,,,,,,,,,,
684,AZ,GANADO,03034,202334,07/20/01,7/20/01,None Needed,"All standards are met (Upland sites,Riparian-Wetland Sites,Desired Resource Conditions)",EA-AZ-070-01-0065,LLAZC02000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
685,AZ,HANCOCK,03038,201963,,7/20/01,None Needed,"All standards are met (Upland sites,Riparian-Wetland Sites,Desired Resource Conditions)",,LLAZC02000,APPROPRIATION ACT,,,,,,,,,,,,,,
686,AZ,HYDER RANCH,05000,202500,09/05/03,None Needed,None Needed,,EA-AZ-050-03-0043,LLAZC02000,INACTIVE,EA,,,,,,,,,,,,,
687,AZ,K LAZY B,03047,202353,09/05/03,9/10/03,None Needed,"All standards are met (Upland sites,Riparian-Wetland Sites,Desired Resource Conditions)",EA-AZ-050-03-0044,LLAZC02000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
688,AZ,MUSE,03093,201090,,10/01/200,None Needed,"All standards are met (Upland sites,Riparian-Wetland Sites,Desired Resource Conditions)",,LLAZC02000,APPROPRIATION ACT,,,,,,,,,,,,,,
689,AZ,NINE MILE,03059,202370,,10/01/200,None Needed,"All standards are met (Upland sites,Riparian-Wetland Sites,Desired Resource Conditions)",,LLAZC02000,APPROPRIATION ACT,,,,,,,,,,,,,,
690,AZ,OROSCO,03061,202372,,5/13/04,None Needed,"All standards are met (Upland sites,Riparian-Wetland Sites,Desired Resource Conditions)",,LLAZC02000,APPROPRIATION ACT,,,,,,,,,,,,,,
691,AZ,PALOMAS RANCH,05036,202536,09/05/03,None Needed,None Needed,,EA-AZ-050-03-0043,LLAZC02000,INACTIVE,EA,,,,,,,,,,,,,
692,AZ,SALOME,03073,202386,10/25/04,10/24/04,None Needed,"All standards are met (Upland sites,Riparian-Wetland Sites,Desired Resource Conditions)",EA-AZ-070-05-0009,LLAZC02000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
693,AZ,TRUST NO. 1347,05003,202503,09/05/03,None Needed,None Needed,,EA-AZ-050-03-0043,LLAZC02000,INACTIVE,EA,,,,,,,,,,,,,
694,AZ,WHITEWING RANCH,05006,202506,09/05/03,None Needed,None Needed,,EA-AZ-050-03-0043,LLAZC02000,INACTIVE,EA,,,,,,,,,,,,,
695,AZ,47 RANCH,52330,200039,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
696,AZ,A DIAMOND,06120,200052,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
697,AZ,A7 RANCH,44140,200110,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
698,AZ,ADAMS RANCH,52010,205201,none,6/5/08,Not complete,Standards 1 and 3 Are Not Being Met,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
699,AZ,ALBERT THOMAS,52840,205284,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
700,AZ,ANTELOPE,06124,202725,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
701,AZ,ANVIL,06100,202701,06/19/09,3/18/09,None Needed,All standards are met,DNA-AZ-G020-2009-0034,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
702,AZ,ARIVACA,06003,201413,6/22/09,3/18/09,None Needed,All standards are met,DNA-AZ-G020-2009-0033,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
703,AZ,ARROYO SECO,06186,200118,3/26/08,2/1/07,None Needed,All standards are met,DNA-AZ-420-2007-022,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
704,AZ,ASH MOUNTAIN,06015,202615,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
705,AZ,BACH,52040,205204,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
706,AZ,BALCOM,06006,200060,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
707,AZ,BATTLE AXE,06059,200112,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
708,AZ,BLACK HILLS,06119,202720,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
709,AZ,BOX O,06244,200085,3/26/09,9/24/08,None Needed,All standards are met,DNA-AZ-G020-2009-0036,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
710,AZ,BRAWLEY WASH,06130,202608,none,5/5/05,None Needed,All standards are met,,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
711,AZ,BROSNAN,52460,205246,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
712,AZ,C. MILLER,52600,205260,none,7/14/09,None Needed,All standards are met,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
713,AZ,CARTER,52130,205213,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
714,AZ,CERRO COLORADO,06023,200118,5/15/08,12/8/11,None Needed,All standards are met,DNA-AZ-420-2007-022,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
715,AZ,CHRISTIANSEN,52170,201775,03/27/09,6/4/08,None Needed,All standards are met,DNA-AZ-G020-2009-0027,LLAZG02000,HOLD,DNA,,,,,,,,,,,,,
716,AZ,CHRISTMAS,45110,200063,,3/4/10,Not complete,Standards 1 and 3 Are Not Being Met,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
717,AZ,CLEVELAND,52190,205219,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
718,AZ,COCHRAN,06113,200005,3/26/09,9/24/08,None Needed,All standards are met,DNA-AZ-G020-2009-0036,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
719,AZ,COWAN,52230,205223,02/27/09,5/21/08,None Needed,All standards are met,DNA-AZ-G020-2009-0029,LLAZG02000,ACTIVE,DNA,,,,,,,,,,,,,
720,AZ,COX,52740,205274,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
721,AZ,COYOTE,06039,202640,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
722,AZ,CROSS TRIANGLE,06144,202745,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
723,AZ,DEEP WELL,06211,202811,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
724,AZ,DEMETRIE WASH,06115,202716,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
725,AZ,DIAMOND BELL,06204,201806,06/22/09,3/12/09,None Needed,All standards are met,DNA-AZ-G020-2009-0033,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
726,AZ,DRIPPING SPRINGS,45070,201794,none,3/3/10,None Needed,All standards are met,,LLAZG02000,ACTIVE,DNA,,,,,,,,,,,,,
727,AZ,DRY CAMP,45340,201481,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
728,AZ,DUDLEYVILLE,45160,204516,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
729,AZ,DURHAM WASH,06004,200012,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
730,AZ,EL CAPITAN,45040,204504,4/9/09,9/3/04,None Needed,All standards are met,DNA-AZ-G020-2009-0042,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
731,AZ,ELKHORN,06175,202852,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
732,AZ,ESKIMINZIN,45420,204542,4/9/09,5/4/05,None Needed,All standards are met,DNA-AZ-G020-2009-0043,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
733,AZ,FRESNAL CANYON,06022,202622,07/17/09,3/12/09,None Needed,All standards are met,DNA-AZ-G020-2009-0054,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
734,AZ,GILSON WASH,45060,201950,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
735,AZ,GOLD GULCH,52650,205265,,12/7/11,None Needed,All standards are met,,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
736,AZ,GOVERNMENT SPRING,45440,200011,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
737,AZ,GRIZZLE,52390,205239,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
738,AZ,GUILD WASH,06151,200109,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
739,AZ,GUNNERY,06133,200865,,4/16/08,Not complete,Standards 1 and 3 Are Not Being Met,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
740,AZ,GUNSIGHT MOUNTAIN,06191,202792,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
741,AZ,H.C. RANCH,52240,205224,none,5/21/08,None Needed,All standards are met,,LLAZG02000,HOLD,DNA,,,,,,,,,,,,,
742,AZ,HABERSTOCK WASH,52420,205242,,none,Not complete,Determination Not Complete,,LLAZG02000,HOLD,none,,,,,,,,,,,,,
743,AZ,HACKBERRY WASH,06125,200083,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
744,AZ,HARRIS,52350,205235,,7/14/09,None Needed,All standards are met,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
745,AZ,HAY HOOK,06093,200115,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
746,AZ,HAYDON,06078,202180,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
747,AZ,HELVETIA,06025,201214,,5/10/04,None Needed,All standards are met,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
748,AZ,HI-Y,45120,204512,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
749,AZ,HIDALGO,45130,204513,none,3/2/10,None Needed,All standards are met,,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
750,AZ,HILL TOP,06101,202702,,4/5/09,Not complete,Standards 1 and 3 Are Not Being Met,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
751,AZ,HORSETRACK,06111,200004,3/26/09,9/24/08,None Needed,All standards are met,DNA-AZ-G020-2009-0036,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
752,AZ,HOTWELL,45390,200057,,4/26/05,None Needed,All standards are met,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
753,AZ,HOWARD,52410,205241,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
754,AZ,INDIAN CAMP,06042,201962,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
755,AZ,KEARNY,06117,202661,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
756,AZ,LA ROCA,52950,205295,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
757,AZ,LA TORTUGA,06040,202641,07/30/09,12/4/08,None Needed,All standards are met,DNA-AZ-G020-2009-0062,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
758,AZ,LEN,06197,202798,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
759,AZ,LIMESTONE,45080,204508,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
760,AZ,MALPAIS HILL,45170,204517,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
761,AZ,MARCO,52550,205255,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
762,AZ,MARTINEZ WASH,06018,202618,5/15/08,5/20/08,None Needed,All standards are met,DNA-AZ-420-2008-204,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
763,AZ,MASSACRE,45320,201983,04/09/09,5/14/08,None Needed,All standards are met,DNA-AZ-G020-2009-0044,LLAZG02000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
764,AZ,MESCAL MOUNTAIN,45090,204509,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
765,AZ,MEXICAN HAT MTN.,52110,200035,,none,Not complete,Determination Not Complete,,LLAZG02000,APPROPRIATION ACT,none,,,,,,,,,,,,,
